



Advanced Model: 

Advanced Model with 1 hours in block: 

Training Started
Epoch 19 Completed	 Loss 2.289	 Train Accuracy: 0.844	 Test Accuracy: 0.900
Epoch 20 Completed	 Loss 2.251	 Train Accuracy: 0.848	 Test Accuracy: 0.914
Epoch 21 Completed	 Loss 2.216	 Train Accuracy: 0.851	 Test Accuracy: 0.882
Epoch 22 Completed	 Loss 2.187	 Train Accuracy: 0.853	 Test Accuracy: 0.914
Epoch 23 Completed	 Loss 2.159	 Train Accuracy: 0.855	 Test Accuracy: 0.894
Epoch 24 Completed	 Loss 2.132	 Train Accuracy: 0.857	 Test Accuracy: 0.946
Epoch 25 Completed	 Loss 2.100	 Train Accuracy: 0.859	 Test Accuracy: 0.959
Epoch 26 Completed	 Loss 2.068	 Train Accuracy: 0.862	 Test Accuracy: 0.925
Epoch 27 Completed	 Loss 2.042	 Train Accuracy: 0.865	 Test Accuracy: 0.914
Epoch 28 Completed	 Loss 2.012	 Train Accuracy: 0.867	 Test Accuracy: 0.957
Epoch 29 Completed	 Loss 1.982	 Train Accuracy: 0.870	 Test Accuracy: 0.959
Epoch 30 Completed	 Loss 1.951	 Train Accuracy: 0.872	 Test Accuracy: 0.953
Epoch 31 Completed	 Loss 1.924	 Train Accuracy: 0.875	 Test Accuracy: 0.957
Epoch 32 Completed	 Loss 1.898	 Train Accuracy: 0.877	 Test Accuracy: 0.964
Epoch 33 Completed	 Loss 1.874	 Train Accuracy: 0.879	 Test Accuracy: 0.953
Epoch 34 Completed	 Loss 1.850	 Train Accuracy: 0.881	 Test Accuracy: 0.959
Epoch 35 Completed	 Loss 1.827	 Train Accuracy: 0.883	 Test Accuracy: 0.948
Epoch 36 Completed	 Loss 1.805	 Train Accuracy: 0.885	 Test Accuracy: 0.948
Epoch 37 Completed	 Loss 1.784	 Train Accuracy: 0.886	 Test Accuracy: 0.937
Epoch 38 Completed	 Loss 1.766	 Train Accuracy: 0.888	 Test Accuracy: 0.964
Epoch 39 Completed	 Loss 1.747	 Train Accuracy: 0.889	 Test Accuracy: 0.942
Epoch 40 Completed	 Loss 1.728	 Train Accuracy: 0.891	 Test Accuracy: 0.960
Epoch 41 Completed	 Loss 1.713	 Train Accuracy: 0.892	 Test Accuracy: 0.964
Epoch 42 Completed	 Loss 1.699	 Train Accuracy: 0.893	 Test Accuracy: 0.953
Epoch 43 Completed	 Loss 1.683	 Train Accuracy: 0.895	 Test Accuracy: 0.931
Epoch 44 Completed	 Loss 1.669	 Train Accuracy: 0.896	 Test Accuracy: 0.898
Epoch 45 Completed	 Loss 1.660	 Train Accuracy: 0.896	 Test Accuracy: 0.946
Epoch 46 Completed	 Loss 1.649	 Train Accuracy: 0.897	 Test Accuracy: 0.951
Epoch 47 Completed	 Loss 1.639	 Train Accuracy: 0.898	 Test Accuracy: 0.948
Epoch 48 Completed	 Loss 1.632	 Train Accuracy: 0.899	 Test Accuracy: 0.903
Epoch 49 Completed	 Loss 1.620	 Train Accuracy: 0.900	 Test Accuracy: 0.959
Epoch 50 Completed	 Loss 1.607	 Train Accuracy: 0.900	 Test Accuracy: 0.957

Advanced Model with 6 hours in block: 

Training Started
Epoch 1 Completed	 Loss 12.287	 Train Accuracy: 0.702	 Test Accuracy: 0.848
Epoch 2 Completed	 Loss 7.017	 Train Accuracy: 0.765	 Test Accuracy: 0.848
Epoch 3 Completed	 Loss 5.193	 Train Accuracy: 0.786	 Test Accuracy: 0.848
Epoch 4 Completed	 Loss 4.286	 Train Accuracy: 0.795	 Test Accuracy: 0.828
